Dénomination actuelle;Fondateur(s) / Dirigeant(s) / Point de contact;Contact email;Site internet;Siège social (département);Nombre de salariés;Chiffre d'affaires;Nombre d'utilisateurs;Accompagnement / Incubation;En recherche financement;Cumul levée de fonds;Type d'innovation;Type de produits / services;Sport ciblé;Type d’utilisateurs;Clientèle cible;Résumé;Type de structure;Dernière levée de fonds;Année de création;Siège social (pays);Cas d'usage;Clients / Références;Statut de la solution;Catégorisation;Intégration / Compatibilité;Stade de développement;Niveau d'implantation marché français;Caractéristiques clés / proposition de valeur;Page Linkedin;Modèle économique;Awards
AIA SPORTS;Thomas Lievremont;contact@aiasports.fr;https://www.aiasports.fr;64 (Pyrénées-Atlantiques);[11-50];<1 M€;501–2 500;SportTech;Oui;1,9 M€;Intelligence artificielle / Machine Learning, Data / Analytics;Service en ligne (SaaS);Rugby, Football, Handball, Basketball, Pelote basque, MMA;B2B2C;Club professionnel, Fédération, Fan / Supporter;Logiciels multisports d’analyse vidéo et de statistiques pour le coaching et l'engagement des fans.;Start-up;;;France;Analyse vidéo et statistique des matchs pour le staff technique, création de contenu pour les fans.;Clubs pros et amateurs (Rugby, Football);Actif;Athletes & performance, Data & analytics, Fan Experience / Fan engagement;Analyse vidéo et IA;Produit commercialisé;;Outil d'analyse vidéo précis par IA, statistiques détaillées en temps réel.;;Abonnement SaaS;
AirFit;Pierre Paquin;info@airfit.co;https://www.airfit.co;75 (Paris);[11-50];1–10 M€;>100 000;SportTech;Non;577 000 € ;Innovation sociale / Inclusion, IoT / Trackers / Wearables;Produit physique (aires de fitness connectées);Tous sports;B2B2C;Collectivité, Institutions publiques, Entreprise;Démocratiser l’activité physique via des aires de fitness connectées et du coaching digital en accès libre (parcs, espaces publics).;Start-up;;;France;Fournir des équipements sportifs de plein air connectés et guider les utilisateurs via une application mobile.;Collectivités locales, Municipalités;Actif;RSE & durabilité, Athletes & performance;Application mobile (coaching digital);Produit commercialisé;;Aires de fitness urbaines, coaching digital gratuit, accessibilité (RSE).;;Vente et installation d'équipement (Hardware);
Airflaps;Pierre LEVASSOR;info@airflaps.com;https://www.airflaps.com/;64 (Pyrénées-Atlantiques);[1-10];;;;Non;;IoT / Trackers / Wearables;Produit physique (Accessoire pour casque);Moto, VTT, Sports mécaniques;B2C;Sportif amateur;Accessoire breveté permettant d'ouvrir le casque pour une meilleure aération et pour réduire la buée ou la chaleur, sans retirer le masque.;Start-up;;2019;France;Améliorer le confort et la sécurité du sportif en ventilant son casque de façon sécurisée.;Revendeurs spécialisés, Distributeurs;Actif;Sécurité & sûreté, Retail & merchandising;Système universel pour casques intégraux;Produit commercialisé et distribué;Forte;Système breveté de ventilation du casque par le masque.;https://www.linkedin.com/company/airflaps/;Vente directe (E-commerce) et distribution;
AKEWATU;Julien TARRIS;contact@akewatu.fr;https://www.akewatu.fr/;64 (Pyrénées-Atlantiques);[11-50];;;;Non;;Marketplace;Marketplace C2C/B2C;Surf, Sports de glisse nautique;B2C, B2B2C;Sportif amateur, Fournisseur biens / services;Marketplace dédiée aux sports de glisse, facilitant l'achat et la vente de matériel neuf et d'occasion (planches, combinaisons).;Start-up / Marketplace;;2018;France;Acheter/vendre du matériel de glisse avec sécurisation du paiement et expertise de professionnels (surfshops partenaires).;Plus de 100 surfshops partenaires.;Actif;Marketplace, Retail & merchandising;Plateforme Web;Produit commercialisé et établi;Forte;Marketplace sécurisée, expertise sur le matériel d'occasion/reconditionné, réseau de surfshops partenaires.;https://www.linkedin.com/company/akewatu/;Commission sur les ventes;
ALKÉ;Claire Allard;claire.allard@alkesoccer.com;https://www.alkesoccer.com;75 (Paris);[1-10];<1 M€;2 501–10 000;SportTech;Oui;200 000 € ;Innovation sociale / Inclusion;Produit physique (vêtements);Football, Rugby, Handball, Basketball, etc.;B2B, B2C;Clubs, fédérations, entreprises, fans;Marque de sport & lifestyle pour les femmes, alliant style et performance et promouvant l'égalité dans le sport.;Start-up;;2021;France;Fournir des équipements sportifs adaptés et stylisés pour les femmes dans des sports traditionnellement masculins.;Clubs sportifs féminins, entreprises (pour des commandes d'équipement).;Actif;Retail & merchandising, Innovation sociale / Inclusion;;Produit commercialisé;Forte;Vêtements techniques et esthétiques conçus spécifiquement pour les femmes sportives.;https://www.linkedin.com/company/alkesoccer/;Vente B2C (E-commerce) et B2B (Clubs/Entreprises);
ALL SPONSORED;Lucereau Stevens, Lopez Arnaud;contact@allsponsored.com;https://www.allsponsored.com;45 (Loiret);[1-10];<1 M€;501–2 500;SportTech;Oui;0 € ;Intelligence artificielle / Machine Learning, Data / Analytics;Service phygital (Plateforme de mise en relation et de services);Tous sports;B2B;Club amateur / Association, Entreprise;Plateforme de sponsoring inversé : elle permet aux entreprises d'obtenir des prestations (RH, communication, RSE) via des associations sportives en échange de financement.;Start-up;;2021;France;Mettre en relation l'offre de services (associations) et la demande de sponsoring (entreprises) via l'échange de valeur et non seulement l'argent.;Associations sportives locales, PME/ETI régionales.;Actif;Partenariat / Sponsoring, Innovation sociale / Inclusion;IA (Matching);Produit commercialisé;Forte;Sponsoring basé sur l'échange de services et l'IA, assistant virtuel pour les négociations.;https://www.linkedin.com/company/allsponsored/;Abonnement (pour les associations), Commission/Forfait (pour les entreprises);
ALLOMATCH;NTP (Non disponible publiquement);NTP (contact@allomatch.com);https://www.allomatch.com/;75 (Paris);[1-10];;;;Non;;Data / Analytics;Service Web et Annuaire;Football, Rugby, Multi-sports;B2C;Fan / Supporter, Entreprise (Bars, Brasseries);Permettre aux fans de sport de trouver les bars qui diffusent les événements sportifs à proximité.;Start-up;;2010;France;Mettre en relation les fans et les lieux de diffusion sportive.;Plus de 10 000 établissements référencés.;Actif;Fan Experience / Fan engagement, Médias / Streaming / OTT;API de géolocalisation, Intégration de calendriers sportifs.;Établi;Très forte;Annuaire géolocalisé des diffusions sportives, moteur de recherche par match et par ville.;https://fr.linkedin.com/company/allomatch;Publicité (pour les établissements), Affiliation / Partenariat;
ALLSESSIONS;NTP (Non disponible publiquement);NTP (Pas d'email public direct);https://allsessions.fr/;;;;;;;;Automatisation / Robotique, Data / Analytics;Logiciel SaaS (Vidéo);Multi-sports;B2B;Média, Club professionnel, Ayant Droit;Plateforme d'automatisation de la production et de la diffusion de contenu vidéo sportif (captation, montage, diffusion multi-plateformes).;Start-up / Éditeur;;2023 (Hypothèse);France;Simplifier la création de contenu vidéo à partir d'événements sportifs (live et replay).;;Actif;Médias / Streaming / OTT, Data / Analytics;;Jeune entreprise;;Automatisation de la chaîne de valeur de la vidéo sportive (captation à diffusion).;;Abonnement SaaS;
Alltricks;Gary ANSSENS (Fondateur);service.client@alltricks.fr;https://www.alltricks.fr/;78 (Yvelines);[101-250];>100 M€ (CA Groupe Decathlon);>1 000 000;;Non;;Automatisation / Robotique;E-commerce (Vente de biens);Vélo (VTT, Route), Running, Outdoor;B2C;Sportif amateur, Fan / Supporter;Leader français de la vente en ligne de vélos, running et outdoor. Offre large, service d'atelier intégré.;Autre (E-commerce / Filiale Decathlon);Racheté par Decathlon (2019);2008;France;Fournir un large catalogue de produits spécialisés avec un service client de qualité et un atelier technique.;Decathlon (Maison mère), Marques de vélo/running;Actif (Filiale);Retail & merchandising, Marketplace;;Établi;Très forte;Vaste catalogue, expertise technique, logistique intégrée, prix compétitifs.;https://www.linkedin.com/company/alltricks/;Vente de biens (E-commerce);
Allwaysport;NTP (Non disponible publiquement);NTP (contact@allwaysport.com);https://www.allwaysport.com/;;;;;;;;Data / Analytics, Automatisation / Robotique;Logiciel SaaS de gestion;Multi-sports;B2B;Club professionnel, Club amateur / Association;Plateforme de gestion pour les clubs sportifs (adhésions, gestion de données, communication).;Start-up / Éditeur;;;France;Optimiser la gestion des membres et des données pour les structures sportives.;;Actif;Gestion / Management, Data & analytics;;Produit commercialisé;Forte;Outil de gestion des membres centralisé et personnalisable pour les clubs.;https://www.linkedin.com/company/allwaysport/;Abonnement SaaS;
Allyane;NTP (Pauline ALTEYRAC, Gérante);contact@allyane.com;https://allyane.com/;42 (Loire);[1-10];;;;Oui;;Innovation (Neuro-sensorielle);Service de rééducation (via la méthode Allyane);Rééducation, Multi-sports;B2B;Staff technique (Kinésithérapeutes, Ostéopathes), Sportif professionnel, Sportif amateur;Méthode de reprogrammation neuro-sensorielle, utilisée notamment pour accélérer la rééducation après blessure ou améliorer le geste sportif.;Start-up;;2016;France;Accélérer la récupération motrice et corriger les schémas moteurs pathologiques ou sous-optimaux.;Centres de rééducation, Kinésithérapeutes formés (réseau de praticiens).;Actif;Athletes & performance, Sécurité & sûreté;Matériel spécifique, Protocole de soin;Méthode déployée et certifiée;Forte (Réseau de praticiens formés en France);Méthode brevetée, résultats rapides sur la récupération motrice et la douleur.;https://www.linkedin.com/company/allyane/;Formation et licence pour les praticiens;
Altinnova;NTP (Non disponible publiquement);NTP (contact@altinnova.com);https://www.altinnova.com/;42 (Loire);[11-50];;;;Non;;Innovation environnementale, IoT / Trackers / Wearables;Produit physique (Aménagements urbains);Cyclisme, Outdoor;B2B;Collectivité, Entreprise, Fournisseur biens / services;Conception et fabrication d'équipements pour le vélo en ville et les aménagements cyclables (arceaux, abris, bornes de réparation).;Autre (PME / Fabricant);;2004;France;Aménager des espaces publics pour le stationnement et l'entretien des vélos (sécurité, service).;Collectivités territoriales, Entreprises (pour les plans de mobilité).;Actif;RSE & durabilité, Sécurité & sûreté;;PME établie;Très forte;Expertise dans les solutions de stationnement sécurisé et de services pour les cyclistes.;https://www.linkedin.com/company/altinnova;Vente de matériel (B2B);
ANYBUDDY;Martial Guermonprez, Frédéric Fouco, Arnaud Tanguy;martial@anybuddyapp.com;http://www.anybuddyapp.com;59 (Nord);[11-50];1–10 M€;>300 000;SportTech;Non;5,2 M€;Automatisation / Robotique;Service en ligne (SaaS) et Application Mobile;Tennis, Padel, Squash, Badminton, etc.;B2B2C;Fédérations, entreprises, institutions, Sportif amateur;Rendre accessible la réservation de terrains de sports de raquette dans les clubs/infrastructures privées ou publiques, sans être membre.;Start-up;;2016;France;Simplifier l'accès aux infrastructures sportives à la demande pour le grand public, optimiser l'occupation des terrains pour les clubs.;Fédération Française de Tennis (FFT), Clubs municipaux et privés.;Actif;Venue Management / Gestion de salle / Operations, Marketplace;Synchronisation d’agenda des clubs, systèmes de paiement.;Produit commercialisé et établi;Très forte;Réservation de terrains sans abonnement, synchronisation avec les logiciels de gestion des clubs.;https://www.linkedin.com/company/anybuddy/;Commission sur les réservations, Abonnement SaaS B2B (pour les clubs);
Apnea Sub;Ludovic Lahccen, Vincent Langlois;contact@apnea-sub.com;apnea-sub.com;59 (Nord);[1-10];<1 M€;0–100;SportTech;Oui;30 000 € ;IoT / Trackers / Wearables, Sécurité & sûreté;Produit physique (Équipement d'apnée);Apnée, triathlon, pêche sportive;B2C;Clubs, pros, fans, Sportif amateur;Créer des équipements d’apnée innovants, sûrs et performants, notamment des systèmes de sécurité et de monitoring pour les apnéistes.;Start-up;Prêt d'honneur/Bourse;2023 (Hypothèse);France;Assurer la sécurité de l'apnéiste par un monitoring innovant, améliorer les performances grâce aux données collectées.;;Actif;Athletes & performance, Sécurité & sûreté;Capteurs connectés, App mobile;Jeune entreprise (Phase R&D/Amorçage);;Équipements d'apnée sécurisés et connectés.;https://www.linkedin.com/company/apnea-sub/;Vente de produits (Hardware);
APOLLO ONLINE BOXING;NTP (Non disponible publiquement);NTP (contact@apolloonlineboxing.com);https://www.apolloonlineboxing.com/;;;;;;;;Médias / Streaming / OTT;Service de coaching vidéo;Boxe, Fitness;B2C;Sportif amateur;Fournir des cours et des programmes d'entraînement de boxe en ligne, accessibles à la maison, animés par des professionnels.;Start-up / Éditeur;;;France;Coaching sportif à distance, apprentissage technique de la boxe.;;Actif;Athletes & performance, Médias / Streaming / OTT;Plateforme de streaming Web/App;Produit commercialisé;;Cours de boxe en ligne, accès illimité à une bibliothèque de séances et de conseils techniques.;;Abonnement mensuel;
Area of Games;Anatolii IVCHENKO (CEO);;area.games/;Nicosia, Nicosia;nov-50;;;;Non;1 800 000 $;Web3 / Blockchain / Tokenisation, Gaming / Fantasy / Esport;Studio de jeux mobiles (Web3, casual et hypercasual).;N/A (Jeu mobile);B2C;Fan / Supporter;Studio de jeux développant des expériences Web3 et mobiles pour l'écosystème du divertissement.;Start-up;1 800 000 $;2021;Chypre;Développement de jeux mobiles grand public et Web3.;;Actif;Gaming / Fantasy / Esport;Web3, applications mobiles;Établi;Faible;Développer des jeux mobiles et Web3 engageants pour un large public.;https://www.linkedin.com/company/areaofgames/;Vente de jetons/NFTs, Achats in-app (IAP);
Arena Club;Brian LEE, George LUKE;;arenaclub.com;Los Angeles, Californie;nov-50;;;;Non;10 000 000 $;Web3 / Blockchain / Tokenisation, Fan Experience / Fan engagement;Plateforme de collection de cartes sportives physiques et numériques (grading, trading).;Multisport;B2C;Fan / Supporter;Arena Club est une plateforme moderne de collection qui réinvente la manière dont les cartes sportives sont échangées et collectionnées, en faisant le pont entre les mondes physique et numérique. Arena Club met l'accent sur la confiance, la transparence et le plaisir, offrant une expérience hybride unique avec trading en ligne, notation physique des cartes et engagement communautaire.;Start-up;10 000 000 $;2021;États-Unis;Achat, vente, échange et notation (grading) de cartes sportives de collection.;Collectionneurs de cartes, fans de sport;Actif;Retail & merchandising, Fan Experience / Fan engagement, Web3 / Blockchain / Tokenisation;Services de notation physique, plateforme de trading numérique;Établi;Faible;La collection de cartes de sport réinventée pour l'ère numérique (grading sécurisé, trading hybride).;https://www.linkedin.com/company/arenaclub/;Frais de service (grading, trading), Vente de produits;
Arenametrix;Kévin Vitoz, Ludovic Bordes;compta@arenametrix.com;http://arenametrix.com;75 (Paris);[11-50];1–10 M€;101–500;SportTech;Non;10 M€;Intelligence artificielle / Machine Learning, Data / Analytics;Service en ligne (SaaS) et CRM;Multiples (Football, Rugby, etc.);B2B, B2B2C;Club professionnel, Organisateur événement / compétition, Média;Logiciel CRM et Data Marketing pour les acteurs de l'événementiel sportif et culturel, permettant d'optimiser la connaissance et la monétisation de leur public.;Start-up / Éditeur;Dernière levée significative en 2021;2013;France;Centraliser les données spectateurs (billetterie, boutique, web) et automatiser les actions marketing (segmentation, emailing).;Clubs de Ligue 1/Pro D2 (Foot, Rugby), Salles de spectacle.;Actif;Data & analytics, Fan Experience / Fan engagement, Billetterie / Ticketing / Hospitality;Intégration avec les logiciels de billetterie (Ticketing);Produit établi et leader en France;Très forte;CRM sectoriel, segmentation prédictive, plateforme tout-en-un de gestion des fans.;https://fr.linkedin.com/company/arenametrix;Abonnement SaaS B2B, Prestation de conseil;
Arioneo;Quentin Lepine / Adrien Delacroix / Jean-Marc Harel-Ramond;contact@arioneo.com;https://arioneo.com/fr/accueil/;Paris (75);01-oct;;;;Non;;IoT / Trackers / Wearables;Solution connectée d'analyse de la performance équine;Équitation (Course et entraînement);B2B;Staff technique;Arioneo développe des solutions connectées (capteurs, applications, plateforme web) pour l'analyse des performances et le suivi de la santé des chevaux de course et de sport.;Start-up;;2014;France;Suivi de l'entraînement, prévention des blessures, optimisation de la performance équine;France Galop, professionnels du monde équin;Actif;Athletes & performance, Data & analytics;;Scale-up;National;Outil d'aide à la décision pour l'entraînement et la gestion de la santé des chevaux;https://www.linkedin.com/company/arioneo;Abonnement (SaaS);
Ark;;contact@ark-sport.fr;https://ark-sport.fr/;;01-oct;;;;;;Innovation environnementale;Solution de location de matériel sportif;Tous sports;B2C, B2B;Sportif amateur, Entreprise;Plateforme de location de matériel sportif (ski, vélo, randonnée, etc.) pour réduire l'impact environnemental et l'accès au sport;Start-up;;2021;France;Location de matériel sportif entre particuliers et professionnels;;Actif;RSE & durabilité;;Startup;Local/Régional;Rendre l'accès au sport plus durable et plus simple grâce à la location;https://www.linkedin.com/company/ark-sport-france;Commission sur transaction / Abonnement;
ArtyBe;;contact@artybe.com;https://artybe.com/;Paris (75);01-oct;;;;;;Réalité Virtuelle / Réalité Augmentée;Plateforme de création de contenu en 3D/AR/VR;Tous sports (principalement pour l'engagement fan);B2B;Club professionnel, Organisateur événement / compétition, Média;Solution permettant aux clubs et organisations sportives de créer des expériences immersives (AR, VR, 3D) pour l'engagement des fans.;Start-up;;2020;France;Engagement des fans via des expériences numériques immersives;Paris Saint-Germain, Fédération Française de Football (FFF);Actif;Fan Experience / Fan engagement, Réalité Virtuelle / Réalité Augmentée;Plateforme Saas;Phase de commercialisation;National;Création de contenu immersif sans code pour le sport;https://www.linkedin.com/company/artybe;Abonnement (SaaS);
ARVA;;info@arva-equipment.com;https://www.arva-equipment.com/;Haute-Savoie (74);nov-50;;;;Non;;Technologique;Matériel de sécurité en montagne;Sports de montagne (Ski de randonnée, alpinisme, etc.);B2C, B2B;Sportif amateur, Fournisseur biens / services (dont salles);Conception et fabrication d'équipements de sécurité pour les activités en montagne (DVA, pelles, sondes);PME / Fabricant;;1985;France;Sécurité en cas d'avalanche;Professionnels de la montagne, magasins spécialisés;Actif;Sécurité & sûreté;;Leader sur son marché;International;Expertise et fiabilité dans le matériel de sécurité en montagne;https://www.linkedin.com/company/arva-equipment;Vente de produits;
